water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,4,11.880,,15.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,5,13.393,,12.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,6,16.741,,11.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,7,15.359,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,8,15.207,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,9,17.280,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,10,15.853,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,11,17.813,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,12,18.176,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,13,17.820,,3.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,14,19.800,,1.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,15,22.000,,1.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,1,17.000,123,42.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,2,20.400,,40.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,3,18.360,,24.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,4,20.196,,19.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,5,16.437,,19.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,6,20.546,,16.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,7,18.849,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,8,18.663,,13.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,9,21.208,,10.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,10,19.457,,10.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,11,21.861,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,12,22.307,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,13,21.870,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,14,24.300,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,1,,15,27.000,,2.000
